stop;article;pieces
0;0;86
0;1;43
0;2;44
0;3;43
0;4;39
70;;
801;;
762;;
809;;
746;;
403;;
780;;
519;;
337;;
832;;
885;;
273;;
96;;
745;;
538;;
65;;
842;;
867;;
877;;
306;;
663;;
291;;
385;;
315;;
28;;
983;;
257;;
487;;
841;;
919;;
677;;
779;;
93;;
88;;
25;;
744;;
221;;
153;;
915;;
594;;
827;;
382;;
728;;
275;;
749;;
585;;
352;;
219;;
610;;
386;;
949;;
880;;
860;;
938;;
351;;
481;;
910;;
666;;
332;;
516;;
800;;
704;;
223;;
362;;
546;;
904;;
514;;
489;;
932;;
277;;
142;;
655;;
248;;
84;;
700;;
793;;
908;;
852;;
681;;
896;;
765;;
94;;
18;;
484;;
612;;
805;;
529;;
44;;
85;;
325;;
30;;
640;;
503;;
75;;
900;;
689;;
45;;
774;;
43;;
445;;
747;;
398;;
566;;
575;;
525;;
78;;
661;;
125;;
652;;
743;;
57;;
851;;
920;;
497;;
623;;
998;;
961;;
515;;
253;;
292;;
818;;
192;;
452;;
717;;
578;;
894;;
543;;
562;;
686;;
528;;
995;;
463;;
730;;
303;;
466;;
826;;
891;;
797;;
905;;
886;;
366;;
375;;
683;;
833;;
79;;
170;;
172;;
478;;
274;;
857;;
768;;
848;;
312;;
724;;
558;;
91;;
317;;
662;;
430;;
26;;
230;;
626;;
674;;
374;;
453;;
813;;
83;;
265;;
135;;
716;;
82;;
994;;
475;;
564;;
69;;
402;;
428;;
232;;
97;;
443;;
140;;
560;;
990;;
408;;
735;;
228;;
255;;
372;;
522;;
823;;
293;;
434;;
590;;
863;;
718;;
565;;
81;;
737;;
554;;
632;;
902;;
644;;
573;;
151;;
419;;
714;;
806;;
35;;
163;;
348;;
55;;
74;;
506;;
526;;
999;;
33;;
692;;
300;;
830;;
912;;
831;;
617;;
149;;
115;;
696;;
270;;
571;;
778;;
633;;
400;;
752;;
283;;
296;;
421;;
322;;
989;;
775;;
37;;
344;;
930;;
334;;
668;;
158;;
243;;
246;;
493;;
459;;
148;;
193;;
572;;
673;;
890;;
582;;
699;;
171;;
0;4;3
0;5;46
0;6;44
0;7;7
656;;
596;;
207;;
782;;
357;;
440;;
56;;
218;;
